Market Participant Name,Region,Market Trading Node,Facility Name,Type,Classification,"Max. Stable Load 
(Pmax, MW)","Min. Stable Load
(Pmin, MW)","Max. Ramp Rate (RR, MW/Min)"
1590 Energy Corporation,Luzon,01BAUANG_GS1,Bauang Diesel Power Plant GS1,Oil-Based,Scheduled,70.0,0.0,7.0
1590 Energy Corporation,Luzon,01BAUANG_GS2,Bauang Diesel Power Plant GS2,Oil-Based,Scheduled,70.0,0.0,7.0
1590 Energy Corporation,Luzon,01BAUANG_GS3,Bauang Diesel Power Plant GS3,Oil-Based,Scheduled,70.0,0.0,7.0
Absolut Distillers Inc.,Luzon,03ADISOL_G01,Lian Solar Power Plant,Solar,Must dispatch,1.6,0.2,1.6
Alternergy Wind One Corporation,Luzon,03AWOC_G01,54.000 MW Pililla Wind Farm Project (WFP),Wind,Must dispatch,53.6,0.0,54.0
Anda Power Corporation,Luzon,01ANDA_G01,ANDA Coal-Fired Power Plant,Coal,Scheduled,72.0,24.6,0.5
Angat Hydropower Corporation,Luzon,01ANGAT_A,Angat Hydroelectric Power Plant Unit A,Hydro,Scheduled,19.6,0.5,27.2
Angat Hydropower Corporation,Luzon,01ANGAT_M,Angat Hydrolectric Power Plant Unit M,Hydro,Scheduled,200.0,5.0,382.3
AP Renewables Inc. ,Luzon,03MKBN_A,Makban -Bay Geothermal Power Plant A,Geothermal,Scheduled,114.0,7.7,4.1
AP Renewables Inc. ,Luzon,03MKBN_B,Makban-Calauan Geothermal Power Plant (Plant B),Geothermal,Scheduled,116.0,7.8,4.2
AP Renewables Inc. ,Luzon,03MKBN_C,Makban-Calauan Geothermal Power Plant (Plant C),Geothermal,Scheduled,30.0,14.1,2.1
AP Renewables Inc. ,Luzon,03MKBN_D,Makban -Bay Geothermal Power Plant  D,Geothermal,Scheduled,40.0,2.5,2.1
AP Renewables Inc. ,Luzon,03MKBN_E,Makban-Sto. Tomas GPP Plant E,Geothermal,Scheduled,40.0,2.5,2.1
AP Renewables Inc. ,Luzon,03ORMAT_G01,7.000 MW Makban-Binary 1 Geothermal Power Plant,Geothermal,Scheduled,6.0,1.5,2.0
AP Renewables Inc. ,Luzon,03TIWI_A,120.000 MW Tiwi A Geothermal Power Plant,Geothermal,Scheduled,120.0,14.3,4.0
AP Renewables Inc. ,Luzon,03TIWI_C,114.000 MW Tiwi C Geothermal Power Plant,Geothermal,Scheduled,113.8,7.1,3.8
Asia Pacific Energy Corporation,Luzon,01APEC_G01,52.00 MW Circulating Fluidized Bed (CFB) Coal-Fired Power Plant ,Coal,Scheduled,25.0,1.0,0.5
Asian Carbon Neutral Power Corp.,Luzon,01ACNPC_G01,ACNPC Tarlac Biomass Plant,Biomass,Non-scheduled,3.2,0.5,0.4
Bac-Man Geothermal Inc.,Luzon,03BACMAN_U01,Bacman Geothermal Power Plant Unit 1,Geothermal,Priority Dispatch,60.0,30.0,4.4
Bac-Man Geothermal Inc.,Luzon,03BACMAN_U02,Bacman Geothermal Power Plant Unit 2,Geothermal,Priority Dispatch,60.0,30.0,4.4
